Item,Size,kcal
Braised Tofu,1 Portion,98
Braised Tuna,1 Portion,171
Braised Vegetables,1 Portion,104
Braised Zucchini,1 Portion,22
Bran Muffin,1 Item,305
Brandade De Morue,1 Portion,350
Branzino,100g,110
Bratkartoffeln,1 Cup,310
Bratwurst,1 Item,283
Bratwurst on Bun,1 Item,395
Brazil Nuts,1 Portion,186
Brazilian Rice,1 Cup,210
Bread and Butter Pudding,1 Piece,350
Bread Pudding,1 Piece,365
Breadfruit,1 Cup,227
Breadstick,1 Item,41
Breakfast Mcmuffin,1 Piece,300
Breakfast Sandwich Egg,1 Item,420
Bresaola,1 Portion,43
Brick Cheese,1 Portion,105
Brie,1 Portion,95
Brie Cheese,1 Portion,95
Brigadeiro,1 Piece,50
Brik Tunisian,1 Piece,200
Brioche,1 Slice,120
Brisket Sandwich,1 Item,490
Briyani Beef,1 Portion,530
Broccoli,1 Cup,31
Broccoli Casserole,1 Cup,280
Broccoli Cheese Sauce,1 Portion,190
Broccoli Steamed,1 Cup,55
Broccolini,1 Cup,35
Broth Beef,1 Cup,17
Broth Chicken,1 Cup,12
Broth Vegetable,1 Cup,10
Brown Gravy,1 Cup,75
Brown Rice Cake,1 Slice,35
Brown Rice,1 Cup,218
Brown Rice Cracker,10 Pieces,110
Brown Rice Protein Bar,1 Item,180
Brown Sauce,1 Tablespoon,18
Brown Sugar,1 Teaspoon,17
Brownie,1 Item,227
Brownie Fudge,1 Item,280
Brownie Plain,1 Piece,243
Brownie Walnut,1 Piece,356
Brunswick Stew,1 Cup,260
Bruschetta,1 Piece,135
Bruschetta Topping,2 Tablespoons,20
Brussels Sprouts,1 Cup,56
Brussels Sprouts Roasted,1 Portion,110
Bubble and Squeak,1 Cup,210
Bubble Gum,1 Piece,25
Bubble Tea,1 Cup,350
Bucatini Amatriciana,1 Cup,430
Buche De Noel,1 Slice,310
Buckwheat Groats,1 Cup,155
Budae Jjigae,1 Cup,350
Buddha S Delight,1 Cup,180
Buffalo Chicken Dip,2 Tablespoons,50
Buffalo Chicken Wing,1 Piece,90
Buffalo Sauce,1 Tablespoon,10
Bulgogi,1 Portion,350
Bulgur,1 Cup,151
Bun Bo Hue,1 Portion,520
Bun Cha,1 Portion,470
Bun Rieu,1 Portion,280
Bun Thit Nuong,1 Portion,510
Bundt Cake,1 Slice,340
Bungeoppang,1 Piece,180
Burdock Root,100g,72
Burgoo,1 Cup,280
Burrata,100g,262
Burrito Bowl,1 Portion,760
Butter,1 Tablespoon,102
Butter Beans,1 Cup,190
Butter Cake,1 Slice,300
Butter Chicken,1 Portion,490
Butter Lettuce,1 Cup,7
Butter Naan,1 Piece,320
Butter Pecan Frozen Yogurt,1 Item,143
Butter Pecan Gelato,1 Item,156
Butter Pecan Milkshake,1 Cup,384
Butter Pecan Sorbet,1 Item,134
Butter Pecan Sundae,1 Item,419
Butter Salted,1 Tablespoon,102
Butter Unsalted,1 Tablespoon,102
Butterfish,100g,187
Buttermilk,1 Cup,99
Buttermilk Biscuit,1 Item,166
Buttermilk Pie,1 Slice,360
Milk Pie,1 Slice,270
Butternut Squash,1 Cup,63
Butternut Squash Bisque Soup,1 Cup,371
Butternut Squash Broth Soup,1 Cup,178
Butternut Squash Chowder Soup,1 Cup,285
Butternut Squash Chunky Soup,1 Cup,84
Butternut Squash Cream of Soup,1 Cup,393
Butternut Squash Noodle Soup,1 Cup,160
Butternut Squash Rice Soup,1 Cup,145
Butternut Squash Risotto,1 Portion,430
Butternut Squash Spicy Soup,1 Cup,172
Butternut Squash Stew Soup,1 Cup,199
Butterscotch,3 Pieces,70
Butterscotch Hard Candy,1 Piece,23
Butterscotch Sauce,2 Tablespoons,130
Borek Cheese,1 Piece,350
Borek Spinach,1 Piece,280
Ca Kho to Braised Fish,1 Portion,280
Cabbage,1 Cup,22
Cabbage Rolls Stuffed,1 Piece,200
Cacciucco Seafood Stew,1 Portion,320
Cacik,1 Cup,120
Cacio E Pepe,1 Portion,430
Cactus Pad,1 Cup,14
Cactus Pear,1 Item,42
Caesar Dressing,2 Tablespoons,163
Caesar Salad,1 Cup,190
Caesar Salad with Dressing,1 Portion,311
Cajun Catfish,1 Portion,280
Cajun Fried Turkey,100g,190
Cajun Jambalaya,1 Portion,430
Calamansi,1 Item,8
Calamari Fried,100g,175
Caldo De Res,1 Portion,280
Caldo Verde,1 Cup,130
California Roll,8 Pieces,330
Callaloo Soup,1 Portion,150
Callaloo Stew,1 Portion,200
Calzone,1 Item,770
Calzone Ricotta,1 Item,630
Camel Meat,100g,128
Camembert,1 Portion,85
Canadian Bacon,1 Slice,43
Candied Sweet Potatoes,1 Portion,220
Candied Yams,1 Cup,270
Candlenuts,100g,630
Candy Cane,1 Item,55
Candy Corn,10 Pieces,75
Cane Sugar,1 Teaspoon,16
Canele,1 Item,140
Canned Artichoke Hearts,1 Cup,74
Canned Asparagus,1 Cup,50
Canned Baked Beans,1 Cup,238
Canned Black Beans,1 Cup,228
Canned Chicken,100g,130
Canned Chickpeas,1 Cup,270
Canned Clams,1 Cup,168
Canned Corn,1 Cup,132
Canned Crab,100g,97
Canned Diced Tomatoes,1 Cup,44
Canned Green Beans,1 Cup,28
Canned Kidney Beans,1 Cup,218
Canned Lentils,1 Cup,230
Canned Mushrooms,1 Cup,38
Canned Peas,1 Cup,118
Canned Pineapple,1 Cup,150
Canned Pinto Beans,1 Cup,244
Canned Salmon,100g,139
Canned Sardines in Oil,100g,208
Canned Sardines in Water,100g,135
Canned Shrimp,100g,99
Canned Tuna in Oil,100g,198
Canned Tuna in Water,100g,116
Canned White Tuna,100g,108
Cannellini Beans,1 Cup,225
Cannoli,1 Item,220
Canola Oil,1 Tablespoon,124
Cantaloupe,1 Cup,54
Biscotti,1 Piece,88
Cao Lau,1 Portion,380
Cape Gooseberry,100g,53
Capers,1 Tablespoon,2
Capicola,1 Portion,70
Caponata,1 Portion,180
Cappuccino,1 Cup,80
Caprese Salad,1 Portion,280
Capri Sun,1 Item,60
Star Fruit,1 Item,30
Caramel,3 Pieces,110
Caramel Apple,1 Item,320
Caramel Apple Cider,1 Cup,200
Caramel Brownie,1 Item,262
Caramel Cake,1 Slice,350
Caramel Candy,1 Piece,39
Caramel Cappuccino,1 Item,194
Caramel Cheesecake,1 Slice,414
Caramel Cookie,1 Item,144
Caramel Cupcake,1 Item,218
Caramel Frappe,1 Item,198
Caramel Frozen Yogurt,1 Item,118
Caramel Gelato,1 Item,206
Caramel Ice Cream,1 Item,161
Caramel Latte,1 Item,210
Caramel Macchiato,1 Item,243
Caramel Milkshake,1 Cup,355
Caramel Mocha,1 Item,217
Caramel Muffin,1 Item,283
Caramel Pie,1 Slice,415
Caramel Sauce,2 Tablespoons,130
Caramel Scone,1 Item,263
Caramel Sorbet,1 Item,125
Caramel Sundae,1 Item,393
Caramelized Onion Dip,2 Tablespoons,45
Caraway Seed,1 Teaspoon,7
Cardamom,1 Teaspoon,6
Carne Asada,100g,185
Carnitas,100g,257
Carp,100g,127
Carpaccio,1 Portion,190
Carrots,1 Item,25
Carrot Brownie,1 Item,279
Carrot Cake,1 Slice,420
Carrot Cheesecake,1 Slice,466
Carrot Cookie,1 Item,207
Carrot Cupcake,1 Item,256
Carrot Glazed,1 Portion,100
Carrot Juice,1 Cup,94
Carrot Muffin,1 Item,342
Carrot Pie,1 Slice,380
Carrot Scone,1 Item,223
Cashew Apple,100g,57
Cashew Butter,2 Tablespoons,188
Cashew Chicken,1 Cup,380
Cashew Cream,1 Tablespoon,45
Cashew Milk,1 Cup,25
Cashews,1 Portion,157
Cassava,1 Cup,330
Cassava Bread,1 Slice,120
Cassava Chips,1 Portion,140
Cassoulet,1 Portion,620
Catalina Dressing,2 Tablespoons,120
Catfish,100g,119
Cauliflower,1 Cup,27
Cauliflower Buffalo Wings,1 Portion,180
Cauliflower Mash,1 Portion,100
Cauliflower Rice,1 Cup,25
Cauliflower Roasted,1 Cup,40
Caviar,1 Tablespoon,40
Caviar Beluga,1 Tablespoon,40
Caviar Salmon,1 Tablespoon,40
Cayenne Pepper,1 Teaspoon,6
Celeriac,100g,42
Celery,1 Item,6
Celery Juice,1 Cup,42
Celery Seed,1 Teaspoon,8
Celery Sticks with Peanut Butter,1 Portion,150
Cemita,1 Item,620
Century Egg,1 Item,75
Cereal Bar,1 Item,90
Cereal Cheerios,1 Cup,100
Cereal Cinnamon Toast Crunch,1 Cup,170
Cereal Corn Flakes,1 Cup,101
Cereal Fiber One,1 Cup,120
Cereal Frosted Flakes,1 Cup,147
Cereal Fruit Loops,1 Cup,110
Cereal Granola,1 Cup,597
Cereal Grape Nuts,1 Cup,416
Cereal Honey Nut Cheerios,1 Cup,147
Cereal Lucky Charms,1 Cup,142
Cereal Muesli,1 Cup,289
Cereal Raisin Bran,1 Cup,190
Cereal Rice Krispies,1 Cup,96
Cereal Shredded Wheat,1 Cup,172
Cereal Wheaties,1 Cup,107
Cervela Salami,1 Portion,98
Ceviche,1 Portion,130
Ceviche Peruvian,1 Portion,140
Porchetta,1 Portion,277
Cha Gio,1 Piece,90
Cha Siu,100g,262
Chai Latte,1 Cup,200
Chai Tea,1 Cup,120
Chakalaka,1 Portion,100
Challah,1 Slice,115
Cham Cham,1 Piece,85
Chambord,1 Portion,110
Champagne,1 Portion,90
Chana Masala,1 Portion,320
Chanterelle Mushrooms,1 Cup,21
Chapati,1 Piece,104
Char Kway Teow,1 Portion,550
Char Siu Bao,1 Item,200
Char Siu Pork,100g,200
Chard Swiss,1 Cup,7
Charlotte Russe,1 Slice,300
Chawanmushi,1 Cup,120
Chayote,1 Cup,25
Che Ba Mau,1 Cup,280
Che Chuoi,1 Cup,230
Cheddar,1 Portion,113
Cheerios,1 Cup,100
Cheese Almonds,1 Portion,172
Cheese Ball,2 Tablespoons,90
Cheese Bowl,1 Portion,364
Cheese Cashews,1 Portion,158
Cheese Casserole,1 Portion,392
Cheese Crackers,1 Portion,140
Cheese Cubes,1 Portion,110
Cheese Curds,1 Portion,110
Cheese Curry,1 Portion,392
Cheese Fondue,1 Cup,500
Cheese Fritter,1 Piece,392
Cheese Mixed Nuts,1 Portion,189
Cheese Naan,1 Piece,340
Cheese Omelette,1 Portion,364
Cheese Paratha,1 Piece,320
Cheese Pasta,1 Portion,392
Cheese Peanuts,1 Portion,149
Cheese Pistachios,1 Portion,141
Cheese Pizza,1 Slice,250
Cheese Plate,1 Portion,392
Cheese Popcorn,1 Portion,157
Cheese Pork Rinds,1 Portion,198
Cheese Potato Chips,1 Portion,188
Cheese Pretzels,1 Portion,166
Cheese Puffs,1 Portion,160
Cheese Pumpkin Seeds,1 Portion,154
Cheese Risotto,1 Portion,378
Cheese Salad,1 Portion,280
Cheese Sauce,1 Cup,350
Cheese Skewer,1 Item,308
Cheese Souffle,1 Piece,290
Cheese Soup,1 Portion,308
Cheese Spread,1 Portion,80
Cheese Steak,1 Portion,680
Cheese Stew,1 Portion,364
Cheese Stick,1 Item,110
Cheese Sunflower Seeds,1 Portion,147
Cheese Taco,1 Item,336
Cheese Tortilla Chips,1 Portion,195
Cheese Walnuts,1 Portion,149
